District,Genomes,Long,Lat,HA,VA,Color,name
Adjumani,4,3.364783439,31.78166613,left,bottom,#2ca9e1,blue
Amuru,21,2.992872,32.039181,left,bottom,#e60033,red
Arua,6,3.023060498,30.91390337,left,bottom,#2ca9e1,blue
Bududa,1,1.009488297,34.33321951,left,bottom,#4c6473,woven_kimono-storage
Bunagana,2,-1.298063974,29.59392489,left,bottom,#2ca9e1,blue
Busia,11,0.471720121,34.08873068,left,top,#e60033,red
Elegu,1,3.610114541,32.06373262,right,top,#4c6473,woven_kimono-storage
Goli,1,2.38870537,31.03234288,right,bottom,#4c6473,woven_kimono-storage
Gulu,7,2.774977964,32.30014725,left,top,#2ca9e1,blue
Iganga,1,0.617410986,33.48718618,right,bottom,#4c6473,woven_kimono-storage
Jinja,7,0.444387,33.21196,left,bottom,#2ca9e1,blue
Kaberamaido,1,1.951937904,33.22100384,left,bottom,#4c6473,woven_kimono-storage
Kampala,148,0.341868,32.581613,right,bottom,#e60033,red
Kitgum,31,3.27833333,32.88666667,left,top,#e60033,red
Lira,1,2.24526,32.894718,left,top,#4c6473,woven_kimono-storage
Luwero,4,0.842814,32.493065,left,top,#2ca9e1,blue
Malaba,30,0.637096064,34.27011734,left,top,#e60033,red
Masaka,4,-0.3250998,31.7541632,right,bottom,#2ca9e1,blue
Mbale,5,1.07857,34.181084,right,top,#2ca9e1,blue
Mbarara,1,-0.607185,30.655893,left,top,#4c6473,woven_kimono-storage
Moroto,5,2.5314579,34.6619729,left,bottom,#2ca9e1,blue
Moyo,2,3.688909616,31.8993969,left,bottom,#2ca9e1,blue
Mutukula,2,-1.004848819,31.41499761,left,top,#2ca9e1,blue
Namisindwa,3,0.980614,34.362687,left,top,#2ca9e1,blue
Nebbi,1,2.454494969,31.27759877,left,bottom,#4c6473,woven_kimono-storage
Ntoroko,1,1.051084,30.53791,left,top,#4c6473,woven_kimono-storage
Sironko ,1,1.158335413,34.31410103,left,bottom,#4c6473,woven_kimono-storage
Soroti,6,1.717858086,33.61395819,left,bottom,#2ca9e1,blue
Tororo,10,0.686500221,34.18267236,left,bottom,#e60033,red
Wakiso,17,0.341868,32.581613,right,top,#e60033,red